"data";"valor"
"01/01/2005";"16,51"
"01/02/2005";"16,84"
"01/03/2005";"17,20"
"01/04/2005";"17,60"
"01/05/2005";"17,96"
"01/06/2005";"18,12"
"01/07/2005";"18,40"
"01/08/2005";"18,85"
"01/09/2005";"19,11"
"01/10/2005";"19,37"
"01/11/2005";"19,61"
"01/12/2005";"19,56"
"01/01/2006";"19,89"
"01/02/2006";"20,11"
"01/03/2006";"20,45"
"01/04/2006";"20,78"
"01/05/2006";"21,07"
"01/06/2006";"21,16"
"01/07/2006";"21,39"
"01/08/2006";"21,65"
"01/09/2006";"21,74"
"01/10/2006";"21,85"
"01/11/2006";"22,07"
"01/12/2006";"21,98"
"01/01/2007";"22,28"
"01/02/2007";"22,48"
"01/03/2007";"22,04"
"01/04/2007";"22,36"
"01/05/2007";"22,88"
"01/06/2007";"23,09"
"01/07/2007";"23,57"
"01/08/2007";"23,77"
"01/09/2007";"23,97"
"01/10/2007";"24,56"
"01/11/2007";"24,88"
"01/12/2007";"24,96"
"01/01/2008";"25,29"
"01/02/2008";"25,50"
"01/03/2008";"25,99"
"01/04/2008";"26,45"
"01/05/2008";"26,80"
"01/06/2008";"26,92"
"01/07/2008";"27,15"
"01/08/2008";"27,25"
"01/09/2008";"27,41"
"01/10/2008";"27,78"
"01/11/2008";"27,46"
"01/12/2008";"27,44"
"01/01/2009";"27,26"
"01/02/2009";"27,26"
"01/03/2009";"27,32"
"01/04/2009";"27,49"
"01/05/2009";"27,85"
"01/06/2009";"28,01"
"01/07/2009";"28,15"
"01/08/2009";"28,42"
"01/09/2009";"28,76"
"01/10/2009";"28,93"
"01/11/2009";"29,12"
"01/12/2009";"29,45"
"01/01/2010";"29,82"
"01/02/2010";"29,95"
"01/03/2010";"30,35"
"01/04/2010";"30,70"
"01/05/2010";"31,19"
"01/06/2010";"31,41"
"01/07/2010";"32,03"
"01/08/2010";"32,34"
"01/09/2010";"32,65"
"01/10/2010";"32,94"
"01/11/2010";"33,46"
"01/12/2010";"33,97"
"01/01/2011";"34,10"
"01/02/2011";"34,23"
"01/03/2011";"34,86"
"01/04/2011";"34,90"
"01/05/2011";"35,12"
"01/06/2011";"35,29"
"01/07/2011";"35,36"
"01/08/2011";"35,97"
"01/09/2011";"36,27"
"01/10/2011";"36,43"
"01/11/2011";"36,46"
"01/12/2011";"36,53"
"01/01/2012";"36,80"
"01/02/2012";"36,82"
"01/03/2012";"36,91"
"01/04/2012";"37,01"
"01/05/2012";"37,20"
"01/06/2012";"37,40"
"01/07/2012";"37,53"
"01/08/2012";"37,70"
"01/09/2012";"37,49"
"01/10/2012";"37,67"
"01/11/2012";"37,84"
"01/12/2012";"38,00"
"01/01/2013";"38,19"
"01/02/2013";"38,27"
"01/03/2013";"38,10"
"01/04/2013";"38,25"
"01/05/2013";"38,38"
"01/06/2013";"38,37"
"01/07/2013";"38,54"
"01/08/2013";"38,66"
"01/09/2013";"38,46"
"01/10/2013";"38,35"
"01/11/2013";"38,37"
"01/12/2013";"38,36"
"01/01/2014";"38,36"
"01/02/2014";"38,29"
"01/03/2014";"38,18"
"01/04/2014";"38,17"
"01/05/2014";"38,34"
"01/06/2014";"38,52"
"01/07/2014";"38,61"
"01/08/2014";"38,68"
"01/09/2014";"38,78"
"01/10/2014";"39,00"
"01/11/2014";"39,01"
"01/12/2014";"39,29"
"01/01/2015";"39,64"
"01/02/2015";"39,64"
"01/03/2015";"39,74"
"01/04/2015";"40,03"
"01/05/2015";"40,05"
"01/06/2015";"40,13"
"01/07/2015";"40,42"
"01/08/2015";"40,61"
"01/09/2015";"40,84"
"01/10/2015";"40,87"
"01/11/2015";"40,60"
"01/12/2015";"40,09"
"01/01/2016";"40,06"
"01/02/2016";"39,70"
"01/03/2016";"39,55"
"01/04/2016";"39,28"
"01/05/2016";"39,22"
"01/06/2016";"39,07"
"01/07/2016";"38,88"
"01/08/2016";"38,78"
"01/09/2016";"38,53"
"01/10/2016";"38,28"
"01/11/2016";"38,31"
"01/12/2016";"38,20"
"01/01/2017";"38,05"
"01/02/2017";"37,92"
"01/03/2017";"37,83"
"01/04/2017";"37,49"
"01/05/2017";"37,35"
"01/06/2017";"37,36"
"01/07/2017";"37,36"
"01/08/2017";"37,41"
"01/09/2017";"37,28"
"01/10/2017";"37,33"
"01/11/2017";"37,40"
"01/12/2017";"37,25"
"01/01/2018";"37,33"
"01/02/2018";"37,33"
"01/03/2018";"37,36"
"01/04/2018";"37,58"
"01/05/2018";"37,85"
"01/06/2018";"37,94"
"01/07/2018";"37,91"
"01/08/2018";"38,09"
"01/09/2018";"38,11"
"01/10/2018";"38,36"
"01/11/2018";"38,80"
"01/12/2018";"39,03"
"01/01/2019";"39,29"
"01/02/2019";"39,54"
"01/03/2019";"39,59"
"01/04/2019";"39,82"
"01/05/2019";"40,11"
"01/06/2019";"40,56"
"01/07/2019";"40,73"
"01/08/2019";"41,13"
"01/09/2019";"41,21"
"01/10/2019";"41,35"
"01/11/2019";"41,58"
"01/12/2019";"41,47"
"01/01/2020";"41,51"
"01/02/2020";"41,46"
"01/03/2020";"41,55"
"01/04/2020";"40,86"
"01/05/2020";"40,03"
"01/06/2020";"39,37"
"01/07/2020";"39,23"
"01/08/2020";"39,20"
"01/09/2020";"39,59"
"01/10/2020";"40,20"
"01/11/2020";"41,03"
"01/12/2020";"41,75"
"01/01/2021";"42,06"
"01/02/2021";"42,25"
"01/03/2021";"42,43"
"01/04/2021";"42,88"
"01/05/2021";"43,83"
"01/06/2021";"44,52"
"01/07/2021";"45,18"
"01/08/2021";"46,43"
"01/09/2021";"47,47"
"01/10/2021";"48,16"
"01/11/2021";"48,92"
"01/12/2021";"49,44"
"01/01/2022";"49,60"
"01/02/2022";"49,47"
"01/03/2022";"49,52"
"01/04/2022";"49,60"
"01/05/2022";"49,49"
"01/06/2022";"49,62"
"01/07/2022";"49,88"
"01/08/2022";"49,59"
"01/09/2022";"49,48"
"01/10/2022";"49,66"
"01/11/2022";"49,41"
"01/12/2022";"49,00"
"01/01/2023";"48,95"
"01/02/2023";"48,66"
"01/03/2023";"48,58"
"01/04/2023";"48,51"
"01/05/2023";"48,83"
"01/06/2023";"48,40"
"01/07/2023";"47,98"
"01/08/2023";"48,17"
"01/09/2023";"48,06"
"01/10/2023";"48,13"
"01/11/2023";"48,13"
"01/12/2023";"47,69"
"01/01/2024";"47,84"
"01/02/2024";"47,78"
"01/03/2024";"47,75"
"01/04/2024";"47,70"
"01/05/2024";"47,57"
"01/06/2024";"47,67"
"01/07/2024";"47,84"
"01/08/2024";"47,99"
"01/09/2024";"48,01"
"01/10/2024";"48,07"
"01/11/2024";"48,29"
"01/12/2024";"48,43"
"01/01/2025";"48,50"
"01/02/2025";"48,18"
