"data";"valor"
"01/03/2005";"11,92"
"01/04/2005";"12,14"
"01/05/2005";"12,25"
"01/06/2005";"12,30"
"01/07/2005";"12,34"
"01/08/2005";"12,44"
"01/09/2005";"12,69"
"01/10/2005";"12,83"
"01/11/2005";"12,90"
"01/12/2005";"12,89"
"01/01/2006";"12,91"
"01/02/2006";"13,07"
"01/03/2006";"13,34"
"01/04/2006";"13,56"
"01/05/2006";"13,57"
"01/06/2006";"13,54"
"01/07/2006";"13,45"
"01/08/2006";"13,51"
"01/09/2006";"13,49"
"01/10/2006";"13,43"
"01/11/2006";"13,32"
"01/12/2006";"13,40"
"01/01/2007";"13,30"
"01/02/2007";"13,15"
"01/03/2007";"12,84"
"01/04/2007";"12,64"
"01/05/2007";"12,40"
"01/06/2007";"12,62"
"01/07/2007";"12,81"
"01/08/2007";"12,94"
"01/09/2007";"12,90"
"01/10/2007";"12,91"
"01/11/2007";"13,05"
"01/12/2007";"13,02"
"01/01/2008";"13,17"
"01/02/2008";"13,31"
"01/03/2008";"13,57"
"01/04/2008";"13,73"
"01/05/2008";"13,75"
"01/06/2008";"13,71"
"01/07/2008";"13,68"
"01/08/2008";"13,72"
"01/09/2008";"13,75"
"01/10/2008";"13,77"
"01/11/2008";"13,72"
"01/12/2008";"13,79"
"01/01/2009";"13,80"
"01/02/2009";"13,88"
"01/03/2009";"13,94"
"01/04/2009";"14,02"
"01/05/2009";"14,22"
"01/06/2009";"14,59"
"01/07/2009";"14,73"
"01/08/2009";"14,82"
"01/09/2009";"14,93"
"01/10/2009";"15,08"
"01/11/2009";"15,18"
"01/12/2009";"15,21"
"01/01/2010";"15,31"
"01/02/2010";"15,33"
"01/03/2010";"15,44"
"01/04/2010";"15,57"
"01/05/2010";"15,73"
"01/06/2010";"15,95"
"01/07/2010";"15,91"
"01/08/2010";"15,94"
"01/09/2010";"16,03"
"01/10/2010";"16,05"
"01/11/2010";"16,34"
"01/12/2010";"16,64"
"01/01/2011";"16,78"
"01/02/2011";"16,64"
"01/03/2011";"16,56"
"01/04/2011";"16,45"
"01/05/2011";"16,30"
"01/06/2011";"16,13"
"01/07/2011";"16,02"
"01/08/2011";"16,16"
"01/09/2011";"16,46"
"01/10/2011";"16,77"
"01/11/2011";"16,78"
"01/12/2011";"16,78"
"01/01/2012";"16,76"
"01/02/2012";"16,89"
"01/03/2012";"16,95"
"01/04/2012";"16,87"
"01/05/2012";"16,82"
"01/06/2012";"16,68"
"01/07/2012";"16,44"
"01/08/2012";"16,29"
"01/09/2012";"16,16"
"01/10/2012";"16,17"
"01/11/2012";"16,32"
"01/12/2012";"16,41"
"01/01/2013";"16,54"
"01/02/2013";"16,59"
"01/03/2013";"16,32"
"01/04/2013";"16,23"
"01/05/2013";"16,06"
"01/06/2013";"15,97"
"01/07/2013";"15,97"
"01/08/2013";"16,03"
"01/09/2013";"16,09"
"01/10/2013";"16,06"
"01/11/2013";"16,11"
"01/12/2013";"16,23"
"01/01/2014";"16,23"
"01/02/2014";"16,15"
"01/03/2014";"16,06"
"01/04/2014";"16,06"
"01/05/2014";"16,08"
"01/06/2014";"16,11"
"01/07/2014";"16,12"
"01/08/2014";"16,03"
"01/09/2014";"16,05"
"01/10/2014";"16,08"
"01/11/2014";"16,24"
"01/12/2014";"16,41"
"01/01/2015";"16,65"
"01/02/2015";"16,73"
"01/03/2015";"16,60"
"01/04/2015";"16,68"
"01/05/2015";"16,59"
"01/06/2015";"16,54"
"01/07/2015";"16,48"
"01/08/2015";"16,43"
"01/09/2015";"16,61"
"01/10/2015";"16,22"
"01/11/2015";"15,76"
"01/12/2015";"15,19"
"01/01/2016";"15,28"
"01/02/2016";"15,26"
"01/03/2016";"15,41"
"01/04/2016";"15,36"
"01/05/2016";"15,51"
"01/06/2016";"15,46"
"01/07/2016";"15,38"
"01/08/2016";"15,34"
"01/09/2016";"15,44"
"01/10/2016";"15,34"
"01/11/2016";"15,20"
"01/12/2016";"14,97"
"01/01/2017";"14,85"
"01/02/2017";"14,78"
"01/03/2017";"14,69"
"01/04/2017";"14,47"
"01/05/2017";"14,32"
"01/06/2017";"14,36"
"01/07/2017";"14,53"
"01/08/2017";"14,69"
"01/09/2017";"14,93"
"01/10/2017";"14,70"
"01/11/2017";"14,61"
"01/12/2017";"14,52"
"01/01/2018";"14,38"
"01/02/2018";"14,62"
"01/03/2018";"14,75"
"01/04/2018";"14,94"
"01/05/2018";"15,08"
"01/06/2018";"15,10"
"01/07/2018";"15,03"
"01/08/2018";"14,86"
"01/09/2018";"14,85"
"01/10/2018";"14,82"
"01/11/2018";"14,98"
"01/12/2018";"15,25"
"01/01/2019";"15,33"
"01/02/2019";"15,35"
"01/03/2019";"15,43"
"01/04/2019";"15,76"
"01/05/2019";"16,02"
"01/06/2019";"16,53"
"01/07/2019";"16,48"
"01/08/2019";"16,53"
"01/09/2019";"16,14"
"01/10/2019";"15,90"
"01/11/2019";"15,55"
"01/12/2019";"15,37"
"01/01/2020";"15,33"
"01/02/2020";"15,39"
"01/03/2020";"16,16"
"01/04/2020";"15,75"
"01/05/2020";"14,64"
"01/06/2020";"13,49"
"01/07/2020";"13,37"
"01/08/2020";"13,43"
"01/09/2020";"13,58"
"01/10/2020";"14,06"
"01/11/2020";"14,75"
"01/12/2020";"15,49"
"01/01/2021";"15,63"
"01/02/2021";"15,46"
"01/03/2021";"15,72"
"01/04/2021";"15,74"
"01/05/2021";"15,98"
"01/06/2021";"16,01"
"01/07/2021";"16,33"
"01/08/2021";"16,68"
"01/09/2021";"17,19"
"01/10/2021";"17,47"
"01/11/2021";"17,52"
"01/12/2021";"17,65"
"01/01/2022";"17,84"
"01/02/2022";"17,39"
"01/03/2022";"17,16"
"01/04/2022";"17,19"
"01/05/2022";"16,94"
"01/06/2022";"17,32"
"01/07/2022";"17,67"
"01/08/2022";"17,91"
"01/09/2022";"17,94"
"01/10/2022";"17,90"
"01/11/2022";"17,98"
"01/12/2022";"18,15"
"01/01/2023";"18,22"
"01/02/2023";"18,05"
"01/03/2023";"18,13"
"01/04/2023";"18,11"
"01/05/2023";"18,07"
"01/06/2023";"17,97"
"01/07/2023";"17,77"
"01/08/2023";"17,53"
"01/09/2023";"17,42"
"01/10/2023";"17,40"
"01/11/2023";"17,20"
"01/12/2023";"16,84"
"01/01/2024";"16,81"
"01/02/2024";"16,83"
"01/03/2024";"17,08"
"01/04/2024";"16,99"
"01/05/2024";"16,78"
"01/06/2024";"17,07"
"01/07/2024";"17,27"
"01/08/2024";"17,43"
"01/09/2024";"17,25"
"01/10/2024";"17,11"
"01/11/2024";"17,16"
"01/12/2024";"17,61"
"01/01/2025";"17,69"
"01/02/2025";"17,80"
