"data";"valor"
"01/03/2024";"26,25"
"01/04/2024";"26,13"
"01/05/2024";"25,76"
"01/06/2024";"26,16"
"01/07/2024";"26,43"
"01/08/2024";"26,70"
"01/09/2024";"26,44"
"01/10/2024";"26,26"
"01/11/2024";"26,30"
"01/12/2024";"26,98"
"01/01/2025";"27,10"
"01/02/2025";"27,23"
